LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NOTESTS_3ORHIGHER,source_file,#RPT_NAME,DETAIL_LVL_DESC,NUMBER_TESTS_3_OR_HIGHER
2019-20,629,Clarke County,0102,Cedar Shoals High School,ALL Subjects,201,328,134,AP_2020_JUN_21_2021.csv,,,
2019-20,629,Clarke County,0102,Cedar Shoals High School,Art History,TFS,TFS,TFS,AP_2020_JUN_21_2021.csv,,,
2019-20,629,Clarke County,0102,Cedar Shoals High School,Art: Studio 2-D Design,TFS,TFS,TFS,AP_2020_JUN_21_2021.csv,,,
2019-20,629,Clarke County,0102,Cedar Shoals High School,Art: Studio Drawing,TFS,TFS,TFS,AP_2020_JUN_21_2021.csv,,,
2019-20,629,Clarke County,0102,Cedar Shoals High School,Biology,TFS,TFS,TFS,AP_2020_JUN_21_2021.csv,,,
2019-20,629,Clarke County,0102,Cedar Shoals High School,Calculus A,TFS,TFS,TFS,AP_2020_JUN_21_2021.csv,,,
2019-20,629,Clarke County,0102,Cedar Shoals High School,Calculus BC,TFS,TFS,TFS,AP_2020_JUN_21_2021.csv,,,
2019-20,629,Clarke County,0102,Cedar Shoals High School,Computer Science A,TFS,TFS,TFS,AP_2020_JUN_21_2021.csv,,,
2019-20,629,Clarke County,0102,Cedar Shoals High School,Economics: Micro,22,22,13,AP_2020_JUN_21_2021.csv,,,
2019-20,629,Clarke County,0102,Cedar Shoals High School,Eng. Language & Comp,32,32,7,AP_2020_JUN_21_2021.csv,,,
2019-20,629,Clarke County,0102,Cedar Shoals High School,Eng. Literature & Comp,24,24,9,AP_2020_JUN_21_2021.csv,,,
2019-20,629,Clarke County,0102,Cedar Shoals High School,Environmental Science,26,26,7,AP_2020_JUN_21_2021.csv,,,
2019-20,629,Clarke County,0102,Cedar Shoals High School,Gov. & Pol. U.S.,60,60,12,AP_2020_JUN_21_2021.csv,,,
2019-20,629,Clarke County,0102,Cedar Shoals High School,Physics 1,TFS,TFS,TFS,AP_2020_JUN_21_2021.csv,,,
2019-20,629,Clarke County,0102,Cedar Shoals High School,Psychology,19,19,10,AP_2020_JUN_21_2021.csv,,,
