LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,GRADES_SERVED_DESC,STUDENT_COUNT_ALL,FIVE_OR_FEWER_PERCENT_ALL,SIX_TO_FIFTEEN_PERCENT_ALL,OVER_15_PERCENT_ALL,STUDENT_COUNT_INDIAN,FIVE_OR_FEWER_PERCENT_INDIAN,SIX_TO_FIFTEEN_PERCENT_INDIAN,OVER_15_PERCENT_INDIAN,STUDENT_COUNT_ASIAN,FIVE_OR_FEWER_PERCENT_ASIAN,SIX_TO_FIFTEEN_PERCENT_ASIAN,OVER_15_PERCENT_ASIAN,STUDENT_COUNT_BLACK,FIVE_OR_FEWER_PERCENT_BLACK,SIX_TO_FIFTEEN_PERCENT_BLACK,OVER_15_PERCENT_BLACK,STUDENT_COUNT_WHITE,FIVE_OR_FEWER_PERCENT_WHITE,SIX_TO_FIFTEEN_PERCENT_WHITE,OVER_15_PERCENT_WHITE,STUDENT_COUNT_HISPANI,FIVE_OR_FEWER_PERCENT_HISPANI,SIX_TO_FIFTEEN_PERCENT_HISPANI,OVER_15_PERCENT_HISPANI,STUDENT_COUNT_MULTI,FIVE_OR_FEWER_PERCENT_MULTI,SIX_TO_FIFTEEN_PERCENT_MULTI,OVER_15_PERCENT_MULTI,STUDENT_COUNT_FEMALE,FIVE_OR_FEWER_PERCENT_FEMALE,SIX_TO_FIFTEEN_PERCENT_FEMALE,OVER_15_PERCENT_FEMALE,STUDENT_COUNT_MALE,FIVE_OR_FEWER_PERCENT_MALE,SIX_TO_FIFTEEN_PERCENT_MALE,OVER_15_PERCENT_MALE,STUDENT_COUNT_SWD,FIVE_OR_FEWER_PERCENT_SWD,SIX_TO_FIFTEEN_PERCENT_SWD,OVER_15_PERCENT_SWD,STUDENT_COUNT_NOT_SWD,FIVE_OR_FEWER_PERCENT_NOT_SWD,SIX_TO_FIFTEEN_PERCENT_NOT_SWD,OVER_15_PERCENT_NOT_SWD,STUDENT_COUNT_ED,FIVE_OR_FEWER_PERCENT_ED,SIX_TO_FIFTEEN_PERCENT_ED,OVER_15_PERCENT_ED,STUDENT_COUNT_NOT_ED,FIVE_OR_FEWER_PERCENT_NOT_ED,SIX_TO_FIFTEEN_PERCENT_NOT_ED,OVER_15_PERCENT_NOT_ED,STUDENT_COUNT_LEP,FIVE_OR_FEWER_PERCENT_LEP,SIX_TO_FIFTEEN_PERCENT_LEP,OVER_15_PERCENT_LEP,STUDENT_COUNT_MIGRANT,FIVE_OR_FEWER_PERCENT_MIGRANT,SIX_TO_FIFTEEN_PERCENT_MIGRANT,OVER_15_PERCENT_MIGRANT,CHRONIC_ABSENT_PERC_ALL,CHRONIC_ABSENT_PERC_INDIAN,CHRONIC_ABSENT_PERC_ASIAN,CHRONIC_ABSENT_PERC_BLACK,CHRONIC_ABSENT_PERC_WHITE,CHRONIC_ABSENT_PERC_HISPANI,CHRONIC_ABSENT_PERC_MULTI,CHRONIC_ABSENT_PERC_FEMALE,CHRONIC_ABSENT_PERC_MALE,CHRONIC_ABSENT_PERC_SWD,CHRONIC_ABSENT_PERC_NOT_SWD,CHRONIC_ABSENT_PERC_ED,CHRONIC_ABSENT_PERC_NOT_ED,CHRONIC_ABSENT_PERC_LEP,CHRONIC_ABSENT_PERC_MIGRANT,source_file,#RPT_NAME
2019-20,School,629,Clarke County,0102,Cedar Shoals High School,"09,10,11,12",1492,48.4,31.0,20.6,0,0.0,0.0,0.0,14,92.9,0.0,7.1,801,46.9,30.6,22.5,196,52.6,30.6,16.8,431,49.0,32.5,18.6,48,37.5,37.5,25.0,732,44.9,32.0,23.1,760,51.7,30.1,18.2,253,40.7,33.6,25.7,1239,50.0,30.5,19.5,1492,48.4,31.0,20.6,0,0.0,0.0,0.0,108,49.1,33.3,17.6,0,0.0,0.0,0.0,23.1,0.0,7.1,25.6,19.4,20.4,25.0,24.0,22.1,31.2,21.4,23.1,0.0,25.0,0.0,Attendance_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0104,Classic City High School,"09,10,11,12",90,56.7,31.1,12.2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,71,59.2,26.8,14.1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,42,42.9,40.5,16.7,48,68.8,22.9,8.3,11,72.7,27.3,0.0,79,54.4,31.6,13.9,90,56.7,31.1,12.2,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,17.8,0.0,0.0,18.3,0.0,0.0,0.0,23.8,12.5,9.1,19.0,17.8,0.0,0.0,0.0,Attendance_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0105,Alps Road Elementary School,"PK,KK,01,02,03,04,05",392,57.4,33.7,8.9,0,0.0,0.0,0.0,0,0.0,0.0,0.0,310,60.3,32.9,6.8,29,41.4,41.4,17.2,28,50.0,25.0,25.0,22,45.5,45.5,9.1,195,57.4,33.3,9.2,197,57.4,34.0,8.6,55,58.2,29.1,12.7,337,57.3,34.4,8.3,392,57.4,33.7,8.9,0,0.0,0.0,0.0,14,71.4,21.4,7.1,0,0.0,0.0,0.0,11.7,0.0,0.0,8.7,34.5,25.0,9.1,10.8,12.7,14.5,11.3,11.7,0.0,7.1,0.0,Attendance_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0112,Judia Jackson Harris Elementary,"PK,KK,01,02,03,04,05",427,65.3,31.9,2.8,0,0.0,0.0,0.0,0,0.0,0.0,0.0,124,61.3,36.3,2.4,19,63.2,21.1,15.8,275,66.9,30.9,2.2,0,0.0,0.0,0.0,213,64.8,32.9,2.3,214,65.9,30.8,3.3,61,55.7,41.0,3.3,366,66.9,30.3,2.7,427,65.3,31.9,2.8,0,0.0,0.0,0.0,257,68.1,30.4,1.6,0,0.0,0.0,0.0,3.3,0.0,0.0,2.4,15.8,2.9,0.0,2.8,3.7,1.6,3.6,3.3,0.0,2.7,0.0,Attendance_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0178,Timothy Elementary School,"PK,KK,01,02,03,04,05",550,70.4,27.3,2.4,0,0.0,0.0,0.0,24,75.0,12.5,12.5,212,70.8,28.3,0.9,218,67.9,29.8,2.3,60,70.0,25.0,5.0,36,80.6,19.4,0.0,255,70.2,28.2,1.6,295,70.5,26.4,3.1,68,67.6,27.9,4.4,482,70.7,27.2,2.1,550,70.4,27.3,2.4,0,0.0,0.0,0.0,62,74.2,19.4,6.5,0,0.0,0.0,0.0,4.7,0.0,8.3,5.2,3.7,5.0,5.6,3.5,5.8,10.3,3.9,4.7,0.0,6.5,0.0,Attendance_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0191,Cleveland Road Elementary School,"PK,KK,01,02,03,04,05",276,62.0,34.1,4.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,131,70.2,28.2,1.5,62,56.5,40.3,3.2,62,54.8,40.3,4.8,18,44.4,38.9,16.7,127,54.3,40.9,4.7,149,68.5,28.2,3.4,59,71.2,27.1,1.7,217,59.4,35.9,4.6,276,62.0,34.1,4.0,0,0.0,0.0,0.0,58,60.3,36.2,3.4,0,0.0,0.0,0.0,6.2,0.0,0.0,5.3,4.8,4.8,16.7,7.1,5.4,5.1,6.5,6.2,0.0,5.2,0.0,Attendance_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0196,Coile Middle School,"06,07,08",772,65.5,27.1,7.4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,378,65.1,27.0,7.9,43,62.8,18.6,18.6,328,67.4,27.4,5.2,22,50.0,40.9,9.1,366,64.2,30.1,5.7,406,66.7,24.4,8.9,133,60.2,28.6,11.3,639,66.7,26.8,6.6,772,65.5,27.1,7.4,0,0.0,0.0,0.0,207,68.6,27.1,4.3,0,0.0,0.0,0.0,8.9,0.0,0.0,10.1,20.9,6.1,9.1,6.8,10.8,13.5,8.0,8.9,0.0,4.8,0.0,Attendance_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0205,Gaines Elementary School,"PK,KK,01,02,03,04,05",527,55.2,35.7,9.1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,391,56.0,34.5,9.5,34,55.9,38.2,5.9,79,50.6,41.8,7.6,16,56.3,31.3,12.5,259,57.9,35.1,6.9,268,52.6,36.2,11.2,102,56.9,34.3,8.8,425,54.8,36.0,9.2,527,55.2,35.7,9.1,0,0.0,0.0,0.0,65,55.4,40.0,4.6,0,0.0,0.0,0.0,10.6,0.0,0.0,12.3,0.0,6.3,6.3,8.5,12.7,10.8,10.6,10.6,0.0,3.1,0.0,Attendance_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0291,Howard B. Stroud Elementary School,"PK,KK,01,02,03,04,05",402,53.7,39.3,7.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,283,51.6,40.3,8.1,31,54.8,38.7,6.5,57,64.9,29.8,5.3,30,53.3,46.7,0.0,216,54.6,38.9,6.5,186,52.7,39.8,7.5,73,46.6,39.7,13.7,329,55.3,39.2,5.5,402,53.7,39.3,7.0,0,0.0,0.0,0.0,43,67.4,30.2,2.3,0,0.0,0.0,0.0,8.5,0.0,0.0,9.9,6.5,7.0,0.0,10.2,6.5,15.1,7.0,8.5,0.0,4.7,0.0,Attendance_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0296,Burney-Harris-Lyons Middle School,"06,07,08",741,65.3,27.8,6.9,0,0.0,0.0,0.0,21,81.0,19.0,0.0,309,63.4,30.7,5.8,87,49.4,35.6,14.9,298,71.8,23.2,5.0,24,58.3,20.8,20.8,349,65.0,28.7,6.3,392,65.6,27.0,7.4,107,45.8,40.2,14.0,634,68.6,25.7,5.7,741,65.3,27.8,6.9,0,0.0,0.0,0.0,204,69.6,25.5,4.9,0,0.0,0.0,0.0,8.2,0.0,0.0,6.5,16.1,6.7,25.0,7.2,9.2,18.7,6.5,8.2,0.0,7.8,0.0,Attendance_2020_Dec112020.csv,
