#RPT_NAME,LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,GRADES_SERVED_DESC,ENROLL_PCT_ASIAN,ENROLL_PCT_NATIVE,ENROLL_PCT_BLACK,ENROLL_PCT_HISPANIC,ENROLL_PCT_MULTIRACIAL,ENROLL_PCT_WHITE,ENROLL_PCT_MIGRANT,ENROLL_PCT_ED,ENROLL_PCT_SWD,ENROLL_PCT_LEP,ENROLL_COUNT_REMEDIAL_GR_6_8,ENROLL_PCT_REMEDIAL_GR_6_8,ENROLL_COUNT_EIP_K_5,ENROLL_PERCENT_EIP_K_5,ENROLL_COUNT_REMEDIAL_GR_9_12,ENROLL_PCT_REMEDIAL_GR_9_12,ENROLL_COUNT_SPECIAL_ED_K12,ENROLL_PCT_SPECIAL_ED_K12,ENROLL_COUNT_ESOL,ENROLL_PCT_ESOL,ENROLL_COUNT_SPECIAL_ED_PK,ENROLL_PCT_SPECIAL_ED_PK,ENROLL_COUNT_VOCATION_9_12,ENROLL_PCT_VOCATION_9_12,ENROLL_COUNT_ALT_PROGRAMS,ENROLL_PCT_ALT_PROGRAMS,ENROLL_COUNT_GIFTED,ENROLL_PCT_GIFTED,ENROLL_PCT_MALE,ENROLL_PCT_FEMALE
"Enrollment_by_Subgroup_Metrics","2023-24","District","601","Appling County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","21","20","5","54","8","79","15.8","12","218","29.4","278","19.2","107","10.1","512","15.8","225","6.9","40","17.6","700","66.3","65","2.2","210","6.5","51","49"
"Enrollment_by_Subgroup_Metrics","2023-24","District","602","Atkinson County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","14","44","2","40","8","85","12.1","20","104","31","305","43.3","100","22.2","181","12.1","170","11.4","TFS","TFS","324","72","15","1.1","46","3.1","51","49"
"Enrollment_by_Subgroup_Metrics","2023-24","District","603","Bacon County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","22","16","5","57","3","81","17.3","10","54","11.7","305","33.4","94","14.8","348","17.3","124","6.2","22","21.6","475","74.6","23","1.2","223","11.1","52","48"
"Enrollment_by_Subgroup_Metrics","2023-24","District","604","Baker County","ALL","All Column Values","KK,01,02,03,04,05,06,07,08,09,10,11,12","2","TFS","56","11","5","25","2","100","13.4","5","62","93.9","32","25.2","TFS","TFS","38","13.4","TFS","TFS","TFS","TFS","66","73.3","TFS","TFS",,,"52","48"
"Enrollment_by_Subgroup_Metrics","2023-24","District","605","Baldwin County","ALL","All Column Values","KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","65","5","5","23","TFS","87","13.7","3","401","41.8","890","43.2","168","13","591","13.7","75","1.7","15","5.4","700","54.1","168","4.2","252","5.8","50","50"
"Enrollment_by_Subgroup_Metrics","2023-24","District","606","Banks County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","2","13","4","79","TFS","67","15.9","7","TFS","TFS","272","20.3","31","3.6","455","15.9","154","5.4","20","100","566","65.9","19",".7","213","7.4","52","48"
"Enrollment_by_Subgroup_Metrics","2023-24","District","607","Barrow County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","4","TFS","15","27","6","47","TFS","65","16","16","601","17.6","2119","32.1","308","6.5","2362","16","1612","10.9","178","32.5","2658","56.2","275","2","1410","9.6","51","49"
"Enrollment_by_Subgroup_Metrics","2023-24","District","608","Bartow County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","10","18","5","65","TFS","67","14.6","9","523","17.3","663","10.7","753","17.3","1979","14.6","779","5.7","132","23.5","2261","51.9","71",".6","2056","15.1","51","49"
"Enrollment_by_Subgroup_Metrics","2023-24","District","609","Ben Hill County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","43","12","4","41","1","74","12.4","5","391","63.1","822","69.4","425","44.7","342","12.4","77","2.8","43","17.1","478","50.3","87","3.5","230","8.3","51","49"
"Enrollment_by_Subgroup_Metrics","2023-24","District","610","Berrien County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","12","10","6","71","2","65","9.8","4","115","16.6","350","25.9","133","14.4","290","9.8","54","1.8","10","7.6","600","64.9","34","1.2","218","7.3","51","49"
"Enrollment_by_Subgroup_Metrics","2023-24","District","611","Bibb County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","77","8","3","10","TFS","61","11.7","5","655","13.7","3187","32.5","233","4","2388","11.7","747","3.7","89","10.3","3316","56.6","245","1.3","893","4.4","51","49"
"Enrollment_by_Subgroup_Metrics","2023-24","District","612","Bleckley County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","24","3","4","68","TFS","61","16","1","TFS","TFS","217","18.8","155","21","393","16","TFS","TFS","19","11.6","512","69.3","51","2.2","212","8.6","51","49"
"Enrollment_by_Subgroup_Metrics","2023-24","District","613","Brantley County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","3","4","4","89","TFS","70","11.4","1","123","16.6","386","25.2","168","17.7","367","11.4","16",".5","20","10.7","607","64","48","1.6","324","10.1","53","47"
"Enrollment_by_Subgroup_Metrics","2023-24","District","614","Brooks County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","51","13","4","31","2","93","12.2","8","238","47.7","597","63.6","167","25.6","254","12.2","124","5.9","13","12.7","437","67","101","5.2","166","7.9","51","49"
"Enrollment_by_Subgroup_Metrics","2023-24","District","615","Bryan County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","4","TFS","15","12","7","61","TFS","39","12.7","4","971","41.6","795","17.3","473","14.7","1282","12.7","229","2.3","46","12.4","2011","62.6","78",".8","1991","19.7","51","49"
"Enrollment_by_Subgroup_Metrics","2023-24","District","616","Bulloch County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","2","TFS","38","8","5","47","2","69","15.7","4","826","35","1717","34.4","279","8.7","1654","15.7","205","1.9","117","22.2","1838","57.3","275","2.8","1211","11.5","50","50"
"Enrollment_by_Subgroup_Metrics","2023-24","District","617","Burke County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","62","6","5","26","TFS","95","12.3","2","847","97.7","295","17.6","131","11.5","454","12.3","48","1.3","26","10.9","616","54.2","84","2.5","289","7.8","52","48"
"Enrollment_by_Subgroup_Metrics","2023-24","District","618","Butts County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","33","6","6","54","TFS","81","12.6","2","215","28.7","437","28.3","90","8.4","424","12.6","18",".5","34","20.2","660","61.6","79","2.6","249","7.4","51","49"
"Enrollment_by_Subgroup_Metrics","2023-24","District","619","Calhoun County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","96","3","TFS","1","TFS","88","9.4","2","72","69.9","72","42.4","37","26.4","39","9.4","TFS","TFS","TFS","TFS","131","93.6","TFS","TFS","TFS","TFS","52","48"
"Enrollment_by_Subgroup_Metrics","2023-24","District","620","Camden County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","21","11","10","57","TFS","53","17.9","1","331","15.3","854","19.1","404","14.5","1678","17.9","82",".9","79","31.2","1851","66.6","151","1.7","1200","12.8","52","48"
"Enrollment_by_Subgroup_Metrics","2023-24","District","621","Candler County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","27","20","4","48","4","83","14.8","4","130","25.5","362","41.6","38","5.9","300","14.8","71","3.5","24","19.7","356","55.4","27","1.4","73","3.6","51","49"
"Enrollment_by_Subgroup_Metrics","2023-24","District","622","Carroll County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","19","12","7","61","TFS","72","13.4","5","1214","32.7","2189","30.7","1217","25.1","2100","13.4","526","3.4","96","15.2","3231","66.8","181","1.3","2231","14.2","51","49"
"Enrollment_by_Subgroup_Metrics","2023-24","District","623","Catoosa County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","2","TFS","4","7","5","82","TFS","55","16.4","3","772","33.7","1199","27.9","316","9.7","1622","16.4","196","2","77","24.4","2007","61.3","113","1.2","1697","17.2","52","48"
"Enrollment_by_Subgroup_Metrics","2023-24","District","624","Charlton County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","1","26","3","8","62","TFS","74","17.8","TFS","90","22.7","196","26.1","72","16.1","283","17.8","TFS","TFS","TFS","TFS","209","46.9","28","2","70","4.4","53","47"
"Enrollment_by_Subgroup_Metrics","2023-24","District","625","Savannah-Chatham County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","3","TFS","56","16","6","19","TFS","72","13.6","9","1907","24.4","5771","35.2","1906","19.2","4638","13.6","2021","5.9","349","21.5","4993","50.2","248",".8","5973","17.5","51","49"
"Enrollment_by_Subgroup_Metrics","2023-24","District","626","Chattahoochee County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","28","14","8","48","TFS","71","15.9","2","47","20.6","67","28.3","78","17","147","15.9","12","1.3","TFS","TFS","231","50.4","TFS","TFS","63","6.8","51","49"
"Enrollment_by_Subgroup_Metrics","2023-24","District","627","Chattooga County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","9","8","7","76","TFS","85","16.3","3","313","53.8","269","21.7","TFS","TFS","420","16.3","54","2.1","31","29.5","658","86.5","68","2.8","118","4.6","53","47"
"Enrollment_by_Subgroup_Metrics","2023-24","District","628","Cherokee County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","3","TFS","8","23","6","61","TFS","37","13.1","12","1592","16.7","3216","18","1319","9.5","5392","13.1","3721","9","374","49.3","7442","53.7","361",".9","5079","12.3","51","49"
"Enrollment_by_Subgroup_Metrics","2023-24","District","629","Clarke County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","45","27","5","21","TFS","77","16.5","18","1462","56.8","2554","46.2","237","6.9","1908","16.5","1430","12.4","140","17.4","1334","38.7","256","2.4","2311","20","51","49"
