LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGROUP_NAME,TEST_CMPNT_TYP_NM,NUM_TESTED_CNT,BEGIN_CNT,DEVELOPING_CNT,PROFICIENT_CNT,DISTINGUISHED_CNT,BEGIN_PCT,DEVELOPING_PCT,PROFICIENT_PCT,DISTINGUISHED_PCT,source_file,#ASSMT_CD,ACDMC_LVL
2018-19,629,Clarke County,105,Alps Road Elementary School,All Students,English Language Arts,166,91,48,25,TFS,54.8,28.9,15.1,1.2,EOG_2019_JUN_1ST_2020.csv,,
2018-19,629,Clarke County,105,Alps Road Elementary School,All Students,Mathematics,164,82,60,20,TFS,50.0,36.6,12.2,1.2,EOG_2019_JUN_1ST_2020.csv,,
2018-19,629,Clarke County,105,Alps Road Elementary School,All Students,Science,52,33,TFS,10,TFS,63.5,13.5,19.2,3.8,EOG_2019_JUN_1ST_2020.csv,,
2018-19,629,Clarke County,105,Alps Road Elementary School,All Students,Social Studies,52,31,19,TFS,TFS,59.6,36.5,3.8,0.0,EOG_2019_JUN_1ST_2020.csv,,
2018-19,629,Clarke County,105,Alps Road Elementary School,Male,English Language Arts,79,53,19,TFS,TFS,67.1,24.1,8.9,0.0,EOG_2019_JUN_1ST_2020.csv,,
2018-19,629,Clarke County,105,Alps Road Elementary School,Male,Mathematics,78,44,24,TFS,TFS,56.4,30.8,11.5,1.3,EOG_2019_JUN_1ST_2020.csv,,
2018-19,629,Clarke County,105,Alps Road Elementary School,Male,Science,28,19,TFS,TFS,TFS,67.9,10.7,17.9,3.6,EOG_2019_JUN_1ST_2020.csv,,
2018-19,629,Clarke County,105,Alps Road Elementary School,Male,Social Studies,28,19,TFS,TFS,TFS,67.9,25.0,7.1,0.0,EOG_2019_JUN_1ST_2020.csv,,
2018-19,629,Clarke County,105,Alps Road Elementary School,Female,English Language Arts,87,38,29,18,TFS,43.7,33.3,20.7,2.3,EOG_2019_JUN_1ST_2020.csv,,
2018-19,629,Clarke County,105,Alps Road Elementary School,Female,Mathematics,86,38,36,11,TFS,44.2,41.9,12.8,1.2,EOG_2019_JUN_1ST_2020.csv,,
2018-19,629,Clarke County,105,Alps Road Elementary School,Female,Science,24,14,TFS,TFS,TFS,58.3,16.7,20.8,4.2,EOG_2019_JUN_1ST_2020.csv,,
2018-19,629,Clarke County,105,Alps Road Elementary School,Female,Social Studies,24,12,12,TFS,TFS,50.0,50.0,0.0,0.0,EOG_2019_JUN_1ST_2020.csv,,
