#ASSMT_CD,HIGHEST_RECENT_IND,LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
"SAT","Highest","2023-24","601","Appling County","0103","Appling County High School","All Students","Combined Test Score","1973891.","32979","40.3","40.3","505","1043.6","997.5","997.5"
"SAT","Highest","2023-24","601","Appling County","0103","Appling County High School","All Students","Math Section Score - New","1973891.","37143","47","47","505","505.4","485.3","485.3"
"SAT","Highest","2023-24","601","Appling County","0103","Appling County High School","All Students","Reading Test  Score - New","1973891.","30895","37","37","N/A","272.2","260.5","260.5"
"SAT","Highest","2023-24","601","Appling County","0103","Appling County High School","All Students","WritLang Test  Score - New","1973891.","30900","37","37","N/A","266","251.6","251.6"
"SAT","Highest","2023-24","602","Atkinson County","0103","Atkinson County High School","All Students","Combined Test Score","1973891.","32979","19","19","505","1043.6","1016.1","1016.1"
"SAT","Highest","2023-24","602","Atkinson County","0103","Atkinson County High School","All Students","Math Section Score - New","1973891.","37143","21","21","505","505.4","483.3","483.3"
"SAT","Highest","2023-24","602","Atkinson County","0103","Atkinson County High School","All Students","Reading Test  Score - New","1973891.","30895","18","18","N/A","272.2","269.4","269.4"
"SAT","Highest","2023-24","602","Atkinson County","0103","Atkinson County High School","All Students","WritLang Test  Score - New","1973891.","30900","18","18","N/A","266","263.3","263.3"
"SAT","Highest","2023-24","603","Bacon County","0302","Bacon County High School","All Students","Combined Test Score","1973891.","32979","26.3","26.3","505","1043.6","1022.7","1022.7"
"SAT","Highest","2023-24","603","Bacon County","0302","Bacon County High School","All Students","Math Section Score - New","1973891.","37143","29","29","505","505.4","495.9","495.9"
"SAT","Highest","2023-24","603","Bacon County","0302","Bacon County High School","All Students","Reading Test  Score - New","1973891.","30895","25","25","N/A","272.2","266.8","266.8"
"SAT","Highest","2023-24","603","Bacon County","0302","Bacon County High School","All Students","WritLang Test  Score - New","1973891.","30900","25","25","N/A","266","260","260"
"SAT","Highest","2023-24","604","Baker County","0105","Baker County K12 School","All Students","Combined Test Score","1973891.","32979","TFS","TFS","505","1043.6","TFS","TFS"
"SAT","Highest","2023-24","604","Baker County","0105","Baker County K12 School","All Students","Math Section Score - New","1973891.","37143","TFS","TFS","505","505.4","TFS","TFS"
"SAT","Highest","2023-24","604","Baker County","0105","Baker County K12 School","All Students","Reading Test  Score - New","1973891.","30895","TFS","TFS","N/A","272.2","TFS","TFS"
"SAT","Highest","2023-24","604","Baker County","0105","Baker County K12 School","All Students","WritLang Test  Score - New","1973891.","30900","TFS","TFS","N/A","266","TFS","TFS"
"SAT","Highest","2023-24","605","Baldwin County","0189","Baldwin High School","All Students","Combined Test Score","1973891.","32979","60","60","505","1043.6","970.9","970.9"
