tower_id,fcc_registration,system_id,owner,carrier_category,structure_type,structure_type_desc,status,status_desc,height_meters,height_feet,city,zip_code,latitude,longitude
1,A0090386,1014690,Unknown,Unknown,POLE,Monopole,A,Active,33.8,110.89239199999999,Alexandria,22309.0,38.73361111111111,-77.09833333333333
2,A0451760,1016487,Unknown,Unknown,TOWER,Tower,A,Active,32.3,105.97113199999998,Chantilly,22033.0,38.89527777777778,-77.41388888888889
3,A0021418,1017857,"VIRGINIA, COMMONWEALTH OF",Government,TOWER,Tower,C,Constructed,91.0,298.55644,Fairfax,22032.0,38.82472222222223,-77.28361111111111
4,A0022408,1018711,Unknown,Unknown,B,Building Mount,C,Constructed,53.0,173.88452,Falls Church,22041.0,38.843611111111116,-77.11944444444444
5,A0252574,1019821,Unknown,Unknown,POLE,Monopole,A,Active,38.1,125.000004,Springfield,22153.0,38.755833333333335,-77.215
6,A0091053,1035718,Unknown,Unknown,POLE,Monopole,A,Active,64.0,209.97376,Great Falls,22066.0,38.99888888888889,-77.29138888888889
7,A0507216,1041385,NEXTEL COMMUNICATION OF THE MID ATLANTIC INC  DBA =  NEXTEL COMMUNICATIONS,T-Mobile,POLE,Monopole,A,Active,27.7,90.879268,Alexandria,22060.0,38.71361111111111,-77.13833333333334
8,A0069040,1058771,"VIRGINIA, STATE OF",Other,POLE,Monopole,G,Government,7.6,24.934383999999998,Herndon,20170.0,38.956944444444446,-77.40416666666667
9,A0075098,1064453,Unknown,Unknown,TOWER,Tower,C,Constructed,103.1,338.254604,Fairfax Station,22039.0,38.78777777777778,-77.32972222222222
10,A0220836,1209595,Unknown,Unknown,TOWER,Tower,A,Active,45.7,149.934388,Vienna,22180.0,38.914,-77.25680555555556
11,A0250454,1209619,Unknown,Unknown,TOWER,Tower,A,Active,38.1,125.000004,Fairfax,22030.0,38.85294444444445,-77.33911111111111
12,A0250475,1209706,Unknown,Unknown,TOWER,Tower,A,Active,36.6,120.078744,Fairfax,22031.0,38.83833333333334,-77.24711111111111
13,A0250486,1210910,Unknown,Unknown,TOWER,Tower,A,Active,45.7,149.934388,Lorton,22079.0,38.69316666666666,-77.25733333333334
14,A0317617,1227014,Unknown,Unknown,POLE,Monopole,A,Active,18.3,60.039372,Chantilly,20151.0,38.91277777777778,-77.45472222222223
15,A0352605,1233529,Unknown,Unknown,POLE,Monopole,A,Active,25.6,83.98950400000001,Herndon,20171.0,38.93691666666666,-77.41416666666667
16,A0334519,1234027,Unknown,Unknown,POLE,Monopole,A,Active,36.6,120.078744,Lorton,22079.0,38.715500000000006,-77.19816666666667
17,A0498040,1250435,Unknown,Unknown,TOWER,Tower,A,Active,7.0,22.96588,Springfield,22152.0,38.76038888888889,-77.21672222222223
