School_ID,School_Name,Division_Name,School_Type,Year,History_Pass_Rate,Math_Pass_Rate,Reading_Pass_Rate,Science_Pass_Rate,Writing_Pass_Rate,Overall_Pass_Rate
20,Fairfax High,Fairfax County,High,2020-2021,,40.0,78.0,67.0,83.0,67.0
20,Fairfax High,Fairfax County,High,2021-2022,,79.0,91.0,79.0,88.0,84.2
20,Fairfax High,Fairfax County,High,2022-2023,67.0,78.0,90.0,79.0,,78.5
20,Fairfax High,Fairfax County,High,2023-2024,43.0,77.0,87.0,76.0,36.0,63.8
20,Fairfax High,Fairfax County,High,2024-2025,,80.0,87.0,75.0,,80.7
32,Herndon High,Fairfax County,High,2020-2021,,49.0,54.0,48.0,68.0,54.8
32,Herndon High,Fairfax County,High,2021-2022,70.0,79.0,75.0,62.0,77.0,72.6
32,Herndon High,Fairfax County,High,2022-2023,,76.0,77.0,54.0,64.0,67.8
32,Herndon High,Fairfax County,High,2023-2024,17.0,77.0,78.0,63.0,,58.8
32,Herndon High,Fairfax County,High,2024-2025,,73.0,76.0,62.0,,70.3
33,Herndon Middle,Fairfax County,Middle,2020-2021,,39.0,57.0,47.0,,47.7
33,Herndon Middle,Fairfax County,Middle,2021-2022,,55.0,60.0,50.0,,55.0
33,Herndon Middle,Fairfax County,Middle,2022-2023,,56.0,61.0,54.0,,57.0
33,Herndon Middle,Fairfax County,Middle,2023-2024,,61.0,62.0,57.0,,60.0
33,Herndon Middle,Fairfax County,Middle,2024-2025,,64.0,60.0,58.0,,60.7
70,Forest Edge Elementary,Fairfax County,Elem,2020-2021,,53.0,60.0,58.0,,57.0
70,Forest Edge Elementary,Fairfax County,Elem,2021-2022,,74.0,73.0,66.0,,71.0
70,Forest Edge Elementary,Fairfax County,Elem,2022-2023,,75.0,71.0,78.0,,74.7
70,Forest Edge Elementary,Fairfax County,Elem,2023-2024,,71.0,73.0,68.0,,70.7
70,Forest Edge Elementary,Fairfax County,Elem,2024-2025,,72.0,72.0,66.0,,70.0
80,Sherman Elementary,Fairfax County,Elem,2020-2021,,82.0,90.0,78.0,,83.3
80,Sherman Elementary,Fairfax County,Elem,2021-2022,,90.0,89.0,73.0,,84.0
80,Sherman Elementary,Fairfax County,Elem,2022-2023,,91.0,85.0,80.0,,85.3
80,Sherman Elementary,Fairfax County,Elem,2023-2024,,87.0,83.0,88.0,,86.0
80,Sherman Elementary,Fairfax County,Elem,2024-2025,,89.0,87.0,74.0,,83.3
90,Lake Braddock Secondary,Fairfax County,Combined,2020-2021,100.0,80.0,88.0,79.0,85.0,86.4
90,Lake Braddock Secondary,Fairfax County,Combined,2021-2022,,86.0,90.0,82.0,,86.0
90,Lake Braddock Secondary,Fairfax County,Combined,2022-2023,,86.0,89.0,80.0,,85.0
90,Lake Braddock Secondary,Fairfax County,High,2021-2022,,86.0,90.0,82.0,,86.0
90,Lake Braddock Secondary,Fairfax County,High,2022-2023,,86.0,89.0,80.0,,85.0
90,Lake Braddock Secondary,Fairfax County,High,2023-2024,,86.0,91.0,81.0,,86.0
90,Lake Braddock Secondary,Fairfax County,High,2024-2025,,87.0,90.0,83.0,,86.7
100,Chesterbrook Elementary,Fairfax County,Elem,2020-2021,,88.0,92.0,84.0,,88.0
100,Chesterbrook Elementary,Fairfax County,Elem,2021-2022,,93.0,94.0,92.0,,93.0
100,Chesterbrook Elementary,Fairfax County,Elem,2022-2023,,94.0,93.0,93.0,,93.3
100,Chesterbrook Elementary,Fairfax County,Elem,2023-2024,,93.0,93.0,85.0,,90.3
100,Chesterbrook Elementary,Fairfax County,Elem,2024-2025,,93.0,93.0,84.0,,90.0
110,Archer Elementary,Fairfax County,Elem,2020-2021,,86.0,93.0,81.0,,86.7
110,Archer Elementary,Fairfax County,Elem,2021-2022,,90.0,94.0,88.0,,90.7
110,Archer Elementary,Fairfax County,Elem,2022-2023,,89.0,93.0,90.0,,90.7
110,Archer Elementary,Fairfax County,Elem,2023-2024,,87.0,89.0,81.0,,85.7
110,Archer Elementary,Fairfax County,Elem,2024-2025,,91.0,91.0,82.0,,88.0
120,Vienna Elementary,Fairfax County,Elem,2020-2021,,73.0,86.0,55.0,,71.3
120,Vienna Elementary,Fairfax County,Elem,2021-2022,,85.0,89.0,81.0,,85.0
120,Vienna Elementary,Fairfax County,Elem,2022-2023,,90.0,88.0,86.0,,88.0
120,Vienna Elementary,Fairfax County,Elem,2023-2024,,91.0,90.0,95.0,,92.0
120,Vienna Elementary,Fairfax County,Elem,2024-2025,,91.0,92.0,68.0,,83.7
131,Chantilly High,Fairfax County,High,2020-2021,,66.0,69.0,83.0,86.0,76.0
131,Chantilly High,Fairfax County,High,2021-2022,30.0,87.0,95.0,87.0,66.0,73.0
131,Chantilly High,Fairfax County,High,2022-2023,44.0,84.0,92.0,86.0,28.0,66.8
131,Chantilly High,Fairfax County,High,2023-2024,45.0,85.0,91.0,86.0,14.0,64.2
131,Chantilly High,Fairfax County,High,2024-2025,59.0,90.0,95.0,83.0,28.0,71.0
140,Oakton Elementary,Fairfax County,Elem,2020-2021,,78.0,84.0,74.0,,78.7
140,Oakton Elementary,Fairfax County,Elem,2021-2022,,87.0,87.0,78.0,,84.0
140,Oakton Elementary,Fairfax County,Elem,2022-2023,,87.0,89.0,82.0,,86.0
140,Oakton Elementary,Fairfax County,Elem,2023-2024,,88.0,88.0,84.0,,86.7
140,Oakton Elementary,Fairfax County,Elem,2024-2025,,89.0,90.0,83.0,,87.3
150,Orange Hunt Elementary,Fairfax County,Elem,2020-2021,,63.0,82.0,58.0,,67.7
150,Orange Hunt Elementary,Fairfax County,Elem,2021-2022,,79.0,87.0,73.0,,79.7
150,Orange Hunt Elementary,Fairfax County,Elem,2022-2023,,78.0,87.0,77.0,,80.7
150,Orange Hunt Elementary,Fairfax County,Elem,2023-2024,,83.0,87.0,81.0,,83.7
150,Orange Hunt Elementary,Fairfax County,Elem,2024-2025,,87.0,89.0,76.0,,84.0
170,Terra Centre Elementary,Fairfax County,Elem,2020-2021,,68.0,84.0,69.0,,73.7
170,Terra Centre Elementary,Fairfax County,Elem,2021-2022,,87.0,92.0,81.0,,86.7
170,Terra Centre Elementary,Fairfax County,Elem,2022-2023,,86.0,88.0,79.0,,84.3
170,Terra Centre Elementary,Fairfax County,Elem,2023-2024,,85.0,86.0,87.0,,86.0
170,Terra Centre Elementary,Fairfax County,Elem,2024-2025,,88.0,89.0,81.0,,86.0
190,Fairfax County Adult High,Fairfax County,High,2020-2021,17.0,8.0,21.0,5.0,10.0,12.2
190,Fairfax County Adult High,Fairfax County,High,2021-2022,0.0,33.0,2.0,23.0,,14.5
190,Fairfax County Adult High,Fairfax County,High,2022-2023,3.0,59.0,6.0,31.0,,24.8
190,Fairfax County Adult High,Fairfax County,High,2023-2024,33.0,69.0,25.0,53.0,,45.0
190,Fairfax County Adult High,Fairfax County,High,2024-2025,23.0,68.0,27.0,53.0,,42.8
200,Centreville High,Fairfax County,High,2020-2021,,77.0,90.0,76.0,81.0,81.0
200,Centreville High,Fairfax County,High,2021-2022,48.0,79.0,90.0,77.0,87.0,76.2
200,Centreville High,Fairfax County,High,2022-2023,,77.0,93.0,75.0,50.0,73.8
200,Centreville High,Fairfax County,High,2023-2024,,81.0,88.0,73.0,,80.7
200,Centreville High,Fairfax County,High,2024-2025,,86.0,88.0,77.0,,83.7
220,Dogwood Elementary,Fairfax County,Elem,2020-2021,,23.0,35.0,25.0,,27.7
220,Dogwood Elementary,Fairfax County,Elem,2021-2022,,49.0,50.0,45.0,,48.0
220,Dogwood Elementary,Fairfax County,Elem,2022-2023,,49.0,42.0,55.0,,48.7
220,Dogwood Elementary,Fairfax County,Elem,2023-2024,,44.0,40.0,40.0,,41.3
