registration_number,system_id,entity_name,carrier_category,status,structure_type,overall_height_agl,overall_height_amsl,city,state,county_fips,zip_code
A0001896,1001761,,Unknown,A,TOWER,87.0,91.0,RICHMOND,VA,51041,23831
A0005476,1004631,,Unknown,A,TOWER,48.8,53.3,ROANOKE,VA,51023,24064
A0078297,1011247,,Unknown,A,MAST,56.0,60.7,ROCKBRIDGE,VA,51163,24450
A0019055,1015910,NEWPORT NEWS SHIPBUILDING,Other,C,B,12.8,34.1,NEWPORT NEWS,VA,51700,23607
A0019990,1016653,WXGM INC,Other,C,TOWER,86.6,94.2,GLOUCESTER,VA,51073,23061
A0021401,1017844,"VIRGINIA, COMMONWEALTH OF",Government,C,TOWER,127.0,127.0,RICHMOND,VA,51041,23225
A0021404,1017846,"VIRGINIA, COMMONWEALTH OF  DBA =  DEPARTMENT OF STATE POLICE",Government,C,TOWER,109.7,112.8,MINERAL,VA,51109,23117
A0021413,1017852,"VIRGINIA, COMMONWEALTH OF",Government,C,TOWER,135.0,135.0,WAVERLY,VA,51149,23842
A0021424,1017860,"VIRGINIA, COMMONWEALTH OF",Government,C,TOWER,76.2,81.0,SPROUSES,VA,51029,23936
A0334027,1018961,,Unknown,A,B,26.8,26.8,NORFOLK,VA,51710,23518
A0025153,1021068,,Unknown,A,TOWER,126.4,126.4,NEWPORT NEWS,VA,51650,23605
A0025155,1021070,,Unknown,A,POLE,48.1,48.1,CHESAPEAKE,VA,51550,23324
A0025156,1021071,,Unknown,A,B,51.5,51.5,NORFOLK,VA,51710,23510
A0027477,1023033,,Unknown,A,TOWER,54.9,60.7,GALAX,VA,51640,24333
A0030277,1025509,,Unknown,A,POLE,45.7,45.7,VIRGINIA BEACH,VA,51810,23456
A0030278,1025510,,Unknown,A,POLE,44.1,44.1,VIRGINIA BEACH,VA,51810,23521
A0048591,1041251,,Unknown,A,TOWER,82.3,82.3,THORNBURG,VA,51177,22580
A0050659,1042999,"VIRGINIA, COMMONWEALTH OF  DBA =  MARINE RESOURCES COMMISSION",Government,C,TOWER,91.4,96.0,FAIRPORT,VA,51133,22539
A0067384,1057337,,Unknown,A,TOWER,76.2,82.3,STAFFORD,VA,51179,22554
A0117168,1057338,,Unknown,A,TOWER,76.2,79.0,MOUNT,VA,51179,22134
A0072339,1061836,TRITON PCS LLC  DBA =  TRITON PCS,Other,A,TOWER,30.2,30.2,ASHLAND,VA,51085,23005
A0072340,1061837,TRITON PCS LLC  DBA =  TRITON PCS,Other,A,TOWER,57.9,57.9,POINDEXTERS,VA,51085,23005
A0072341,1061838,TRITON PCS LLC  DBA =  TRITON PCS,Other,A,TOWER,45.7,45.7,PETERSBURG,VA,51053,23803
A0072349,1061846,TRITON PCS LLC  DBA =  TRITON PCS,Other,A,TOWER,47.2,47.2,RICHMOND,VA,51760,23225
A0072351,1061848,TRITON PCS LLC  DBA =  TRITON PCS,Other,A,TOWER,48.8,48.8,RICHMOND,VA,51760,23225
A0072353,1061850,TRITON PCS LLC  DBA =  TRITON PCS,Other,A,TOWER,57.9,57.9,GLENN ALLEN,VA,51087,23060
A0076860,1001298,RUARCH ASSOCIATES LIMITED PARTNERSHIP  DBA =  RADIO STATION WAZR,Broadcasting/Media,C,TOWER,99.0,109.0,EDINBURG,VA,51171,22824
A0119466,1001758,,Unknown,A,TOWER,31.0,31.0,ASHLAND,VA,51085,23005
A0108213,1001959,,Unknown,A,TOWER,46.0,52.0,BOYKINS,VA,51175,23827
A0275430,1002705,,Unknown,A,TOWER,79.2,83.8,CATAWBA,VA,51161,24070
A0118111,1007833,,Unknown,A,TOWER,106.7,106.7,CHARLES CITY,VA,51036,23030
A0116518,1008164,,Unknown,A,POLE,25.9,25.9,VIRGINIA BEACH,VA,51810,23452
A0116519,1008183,,Unknown,A,TOWER,39.6,39.6,PORTSMOUTH,VA,51740,23704
A0014779,1012342,,Unknown,C,TOWER,123.0,124.0,SUFFOLK,VA,51800,23434
A0017400,1014561,TRI CITIES BROADCASTING CORPORATION  DBA =  WGAT RADIO,Broadcasting/Media,C,TOWER,45.1,45.1,GATE CITY,VA,51169,24251
A0090386,1014690,,Unknown,A,POLE,33.8,33.8,ALEXANDRIA,VA,51059,22309
A0019054,1015909,NEWPORT NEWS SHIPBUILDING,Other,C,TOWER,30.4,33.5,NEWPORT NEWS,VA,51700,23602
A0019056,1015911,NEWPORT NEWS SHIPBUILDING,Other,C,TOWER,89.9,91.4,NEWPORT NEWS,VA,51700,23607
A0019303,1016113,"LOUDOUN, COUNTY OF",Government,C,TOWER,36.0,41.5,LEESBURG,VA,51107,20175
A0598961,1016208,,Unknown,C,TOWER,64.0,65.2,FREDERICKSBURG,VA,51179,22405
A0019598,1016345,HAMPTON UNIVERSITY  DBA =  WHOV FM,Other,C,TOWER,61.0,61.9,HAMPTON,VA,51650,23669
A0451760,1016487,,Unknown,A,TOWER,32.3,32.3,CHANTILLY,VA,51059,22033
A0020218,1016838,LYH BROADCASTING L C,Broadcasting/Media,C,TOWER,30.5,31.0,ELON,VA,51009,24574
A0020262,1016879,RADIO WISE INC  DBA =  RADIO STATION WNVA/WNVA FM,Broadcasting/Media,C,TOWER,111.3,112.2,WISE,VA,51195,24293
A0020425,1017002,RAPPAHANNOCK COMMUNICATIONS INC  DBA =  WRAR AM,Other,C,TOWER,104.0,104.8,TAPPAHANNOCK,VA,51159,22572
A0020434,1017010,DICKENSON COUNTY BROADCASTING CORPORATION  DBA =  WDIC AM & WDIC FM,Broadcasting/Media,C,TOWER,62.0,63.5,CLINTWOOD,VA,51051,24228
A0020624,1017155,RCTC WHOLESALE CORPORATION  DBA =  CELLULAR ONE,Other,C,TOWER,80.5,80.5,MIDLOTHIAN,VA,51041,23114
A0185805,1017262,,Unknown,C,TOWER,111.8,112.7,SUTHERLIN,VA,51143,24594
A0020826,1017325,"SUFFOLK, CITY OF",Government,C,TOWER,123.4,129.5,SUFFOLK,VA,51800,23435
A0020827,1017326,"SUFFOLK, CITY OF",Government,C,TOWER,123.4,128.0,SUFFOLK,VA,51800,23438
A0020828,1017327,"SUFFOLK, CITY OF",Government,C,TOWER,61.5,67.6,SUFFOLK,VA,51800,23434
A0020958,1017442,WKGM INC,Other,C,TOWER,150.3,153.0,SMITHFIELD,VA,51093,23430
A0495811,1017598,"Blue Ridge Public Television, Inc.",Broadcasting/Media,C,TOWER,60.5,82.8,ROANOKE,VA,51161,24153
A0021193,1017655,RAPPAHANNOCK ELECTRIC COOPERATIVE,Utility Infrastructure,C,TOWER,110.3,110.3,KING WILLIAM COUNTY,VA,51101,23086
A0021212,1017673,,Unknown,C,BPOLE,51.0,62.0,VIRGINIA BEACH,VA,51810,23451
A0021302,1017754,FRANKLIN BROADCASTING CORPORATION  DBA =  WLQM,Broadcasting/Media,C,TOWER,61.0,62.0,FRANKLIN,VA,51620,23851
A0021363,1017810,CLARK BROADCASTING COMPANY  DBA =  WCYK FM,Broadcasting/Media,C,TOWER,7.6,7.6,CROZET,VA,51003,22932
A0021365,1017812,CLARK BROADCASTING COMPANY  DBA =  WCYK AM,Broadcasting/Media,C,TOWER,91.4,92.3,CROZET,VA,51003,22932
A0021402,1017845,"VIRGINIA, COMMONWEALTH OF",Government,C,TOWER,114.0,117.0,PETERSBURG,VA,51053,23805
