tower_id,tower_name,structure_type,height_ft,height_m,address,town,zip_code,latitude,longitude,fcc_registration,entity_name,carrier_category,attribution_level,status
1,Emergency Comm Center,Lattice,120.0,36.0,"16632 Courage Ct, Leesburg",LEESBURG,20175,39.074437,-77.548055,1016113,"LOUDOUN, COUNTY OF",Government,FCC Matched,Built
2,Ryan,Monopole,150.0,45.7,"20694 Ashburn Rd, Ashburn",ASHBURN,20147,39.044069,-77.486381,N/A,,,Local Only,Built
3,Leesburg #3,Monopole,162.0,49.4,"41631 Shreve Mill Rd - Greenway Exit 3, Leesburg",LEESBURG,20175,39.059855,-77.56233,1034853,,,FCC ID Only,Built
4,Dulles #7,Monopole,191.0,58.2,"22341 Loudoun County Pkwy, Ashburn",ASHBURN,20147,38.998939,-77.479063,1034850,,,FCC ID Only,Built
5,Countryside #17,Monopole,149.0,45.4,"45415 Harry Byrd Hwy, Sterling",STERLING,20166,39.044174,-77.429447,1205720,,,FCC ID Only,Built
6,Alford Tower,Lattice,199.0,90.2,"42462 Reservoir Ridge Pl, Ashburn",ASHBURN,20148,39.008751,-77.533009,1218775,E A R LTD,Other,FCC Matched,Built
7,Builders Rd,Monopole,160.0,48.8,"43069 Builders Ln, Ashburn",ASHBURN,20147,39.066537,-77.511248,1039868,,,FCC ID Only,Built
8,Watson,Monopole,198.0,60.4,"23341 Evergreen Mills Rd, Ashburn",ASHBURN,20148,38.980675,-77.561591,N/A,,,Local Only,Built
9,Goose Creek GC,Monopole,192.0,58.5,"19237 Broken Rock St, Leesburg",LEESBURG,20175,39.082985,-77.515785,N/A,,,Local Only,Built
10,Lansdowne Sprint Nextel Antennas,Roof Top,48.0,14.6,"18885 Conference Center Dr, Leesburg",LEESBURG,20176,39.094436,-77.483307,,,,Local Only,Built
11,Sterling Park,Monopole,120.0,56.3,"21655 Cascades Pkwy, Sterling",STERLING,20166,39.017227,-77.413411,1039867,"Nextel Communications of the Mid-Atlantic, Inc.",T-Mobile,FCC Matched (Historical),Built
