permit_number,issue_date,full_address,source_file,latitude,longitude,geocoded_address,geocode_status
BLDC-2024-030960,8/1/2024,"45540 DULLES EASTERN PLZ, STERLING, VA 20166",permits_2024_08.pdf,39.025007,-77.42446790000001,"45540 Dulles Eastern Plaza, Sterling, VA 20166, USA",SUCCESS
BLDR-2024-003002,8/1/2024,"15834 HAMILTON STATION RD, WATERFORD, VA 20197",permits_2024_08.pdf,39.17658309999999,-77.61779059999999,"15834 Hamilton Station Rd, Waterford, VA 20197, USA",SUCCESS
BLDR-2024-013473,8/1/2024,"15968 LIMESTONE SCHOOL RD, LEESBURG, VA 20176",permits_2024_08.pdf,39.171705,-77.53237949999999,"15968 Limestone School Rd, Leesburg, VA 20176, USA",SUCCESS
BLDR-2024-017961,8/1/2024,"37691 GROVERS MILL LN, PURCELLVILLE, VA 20132",permits_2024_08.pdf,39.2018115,-77.7002437,"37691 Grovers Mill Ln, Purcellville, VA 20132, USA",SUCCESS
BLDR-2024-024122,8/1/2024,"14411 MELROSE SPRING LN, LEESBURG, VA 20176",permits_2024_08.pdf,39.2179656,-77.57230659999999,"14411 Melrose Spring Ln, Leesburg, VA 20176, USA",SUCCESS
BLDR-2024-025532,8/1/2024,"19203 LINCOLN RD, PURCELLVILLE, VA 20132",permits_2024_08.pdf,39.087066,-77.6967908,"19203 Lincoln Rd, Purcellville, VA 20132, USA",SUCCESS
BLDR-2024-026483,8/1/2024,"40793 NORTHERN WILLOW CT, ALDIE, VA 20105",permits_2024_08.pdf,38.9412815,-77.592007,"40793 Northern Willow Ct, Stone Ridge, VA 20105, USA",SUCCESS
BLDR-2024-026547,8/1/2024,"42713 NEWCOMER TER, CHANTILLY, VA 20152",permits_2024_08.pdf,38.9191942,-77.5257252,"42713 Newcomer Terrace, South Riding, VA 20152, USA",SUCCESS
BLDR-2024-026900,8/1/2024,"41690 DILLINGER MILL PL, ALDIE, VA 20105",permits_2024_08.pdf,38.9400771,-77.5609076,"41690 Dillinger Mill Pl, Aldie, VA 20105, USA",SUCCESS
BLDR-2024-026981,8/1/2024,"24756 STONEHILL FARM CT, ALDIE, VA 20105",permits_2024_08.pdf,38.93272899999999,-77.593642,"24756 Stonehill Farm Ct, Stone Ridge, VA 20105, USA",SUCCESS
BLDR-2024-027060,8/1/2024,"15706 VIVIAN DR, WATERFORD, VA 20197",permits_2024_08.pdf,39.182793,-77.633883,"15706 Vivian Dr, Waterford, VA 20197, USA",SUCCESS
BLDR-2024-027844,8/1/2024,"20716 RAINSBORO DR, ASHBURN, VA 20147",permits_2024_08.pdf,39.0432626,-77.4681581,"20716 Rainsboro Dr, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-027937,8/1/2024,"42009 SPRUCE POINT CT, ASHBURN, VA 20148",permits_2024_08.pdf,38.9868673,-77.5493922,"42009 Spruce Point Ct, Brambleton, VA 20148, USA",SUCCESS
BLDR-2024-028499,8/1/2024,"19923 SMITH CIR, ASHBURN, VA 20147",permits_2024_08.pdf,39.0650661,-77.4545136,"19923 Smith Cir, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-029474,8/1/2024,"13302 MILLTOWN RD, LOVETTSVILLE, VA 20180",permits_2024_08.pdf,39.2493414,-77.6206648,"13302 Milltown Rd, Lovettsville, VA 20180, USA",SUCCESS
BLDR-2024-031154,8/1/2024,"19135 ZACHARY LN, LEESBURG, VA 20176",permits_2024_08.pdf,39.0864117,-77.4925803,"19135 Zachary Ln, Leesburg, VA 20176, USA",SUCCESS
BLDR-2024-031589,8/1/2024,"26592 ORDESSIE DR, CENTREVILLE, VA 20120",permits_2024_08.pdf,38.8809967,-77.52066889999999,"26592 Ordessie Dr, Centreville, VA 20120, USA",OUT_OF_BOUNDS
BLDR-2024-036374,8/1/2024,"46781 BACKWATER DR, STERLING, VA 20164",permits_2024_08.pdf,39.0236916,-77.3808216,"46781 Backwater Dr, Sterling, VA 20164, USA",SUCCESS
BLDR-2024-036408,8/1/2024,"24915 SAWTOOTH CT, ALDIE, VA 20105",permits_2024_08.pdf,38.9286618,-77.5481009,"24915 Sawtooth Ct, Stone Ridge, VA 20105, USA",SUCCESS
BLDR-2024-036640,8/1/2024,"26144 WENDELL ST, CHANTILLY, VA 20152",permits_2024_08.pdf,38.8938917,-77.5076505,"26144 Wendell St, Chantilly, VA 20152, USA",OUT_OF_BOUNDS
BLDR-2024-037273,8/1/2024,"7 TYLER LN, STERLING, VA 20165",permits_2024_08.pdf,39.0479891,-77.4156643,"7 Tyler Ln, Sterling, VA 20165, USA",SUCCESS
BLDR-2024-037427,8/1/2024,"23408 SWEET MAGNOLIA CT, ALDIE, VA 20105",permits_2024_08.pdf,38.970299,-77.565141,"23408 Sweet Magnolia Court, Aldie, VA 20105, USA",SUCCESS
BLDR-2024-037474,8/1/2024,"42459 PATRICK WAYNE SQ, ASHBURN, VA 20148",permits_2024_08.pdf,38.9712693,-77.5337849,"42459 Patrick Wayne Square, Broadlands, VA 20148, USA",SUCCESS
BLDR-2024-037683,8/1/2024,"43275 LECROY CIR, LEESBURG, VA 20176",permits_2024_08.pdf,39.0836674,-77.5035256,"43275 Lecroy Cir, Leesburg, VA 20176, USA",SUCCESS
BLDR-2024-037812,8/1/2024,"45850 OAK BRANCH LN, STERLING, VA 20164",permits_2024_08.pdf,39.00830010000001,-77.4141339,"45850 Oak Branch Ln, Sterling, VA 20164, USA",SUCCESS
BLDR-2024-037853,8/1/2024,"21126 ADIRONDACK TER, ASHBURN, VA 20147",permits_2024_08.pdf,39.0317336,-77.4732523,"21126 Adirondack Terrace, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-039963,8/1/2024,"20328 OCEAN FOREST CT, ASHBURN, VA 20147",permits_2024_08.pdf,39.0537358,-77.4962268,"20328 Ocean Forest Ct, Ashburn, VA 20147, USA",SUCCESS
BLDR-2024-013566,8/2/2024,"34898 WILLIAMS GAP RD, ROUND HILL, VA 20141",permits_2024_08.pdf,39.141408,-77.799409,"34898 Williams Gap Rd, Round Hill, VA 20141, USA",SUCCESS
BLDR-2024-016640,8/2/2024,"22214 WOODWINDS DR, LEESBURG, VA 20175",permits_2024_08.pdf,39.0084724,-77.5956619,"22214 Woodwinds Dr, Leesburg, VA 20175, USA",SUCCESS
BLDR-2024-025982,8/2/2024,"39169 ALDIE RD, ALDIE, VA 20105",permits_2024_08.pdf,38.979176,-77.64925199999999,"39169 Aldie Rd, Aldie, VA 20105, USA",SUCCESS
BLDR-2024-026116,8/2/2024,"42029 MISTFLOWER CIR, ASHBURN, VA 20148",permits_2024_08.pdf,38.9973283,-77.54786899999999,"42029 Mistflower Cir, Broadlands, VA 20148, USA",SUCCESS
BLDR-2024-026784,8/2/2024,"42618 BLACK ANGUS DR, ASHBURN, VA 20148",permits_2024_08.pdf,39.0148219,-77.528094,"42618 Black Angus Dr, Ashburn, VA 20148, USA",SUCCESS
BLDR-2024-026849,8/2/2024,"41386 RASPBERRY DR, LEESBURG, VA 20176",permits_2024_08.pdf,39.1653395,-77.55865059999999,"41386 Raspberry Dr, Leesburg, VA 20176, USA",SUCCESS
