School_Name,School_Type,Latitude,Longitude
HILLSBORO CHARTER ACADEMY,CHARTER,39.198992687542074,-77.71979250109185
MOOREFIELD STATION ES,Elem,38.999323722081165,-77.50569082902449
COUNTRYSIDE ES,Elem,39.043377288046464,-77.414079209349
HUTCHISON FARM ES,Elem,38.913809073687744,-77.52241430453695
THE NORTH STAR SCHOOL,High,39.115171130932545,-77.58245161130277
BUFFALO TRAIL ES,Elem,38.89984659337387,-77.5441797422253
LINCOLN ES,Elem,39.11863528281321,-77.69668884194692
HILLSIDE ES,Elem,39.02086059158872,-77.51402316409106
LOUDOUN COUNTY HS,High,39.11097976016144,-77.57948057746343
ALGONKIAN ES,Elem,39.05678651326908,-77.40996264463222
RIVER BEND MS,Middle,39.053009332077124,-77.39842656925927
DOMINION HS,High,39.026314513782474,-77.37367673770677
SENECA RIDGE MS,Middle,39.028273610483154,-77.37306433044994
J LUPTON SIMPSON MS,Middle,39.09031347178855,-77.5700488592781
BRAMBLETON MS,Middle,38.97960812703832,-77.55225639483847
LIBERTY ES,Elem,38.91229319355779,-77.53864329273962
EMERICK ES,Elem,39.130403689621595,-77.71888779024002
COOL SPRING ES,Elem,39.0900266405346,-77.5485176011569
BALL'S BLUFF ES,Elem,39.12325101035131,-77.53489089335402
THE HISTORIC DOUGLASS HIGH SCHOOL EDUCATION AND DEVELOPMENT CAMPUS,FACILITY/SCHOOL,39.10935272320439,-77.55498525795053
CATOCTIN ES,Elem,39.10910761787118,-77.57494715361341
LEESBURG ES,Elem,39.12040039809116,-77.54955573937033
EVERGREEN MILL ES,Elem,39.0908458417384,-77.5725379863059
BLUE RIDGE MS,Middle,39.12806881465762,-77.70732814734734
BRIAR WOODS HS,High,38.992333632596974,-77.53100466750368
BELMONT RIDGE MS,Middle,39.0902847376866,-77.49049558921453
SELDENS LANDING ES,Elem,39.084087542539336,-77.50094226130997
MERCER MS,Middle,38.92530329370518,-77.54688726593149
CEDAR LANE ES,Elem,39.03871227284361,-77.49046657616238
WATERFORD ES,Elem,39.187670911240275,-77.60612118434136
HAMILTON ES,Elem,39.13233117539648,-77.66279255844725
MIDDLEBURG COMMUNITY CHARTER SCHOOL,CHARTER,38.97116384482772,-77.73516196281328
SYCOLIN CREEK ES,Elem,39.037889040952166,-77.5776503915898
PINEBROOK ES,Elem,38.912487625960146,-77.55597247788512
ASHBURN ES,Elem,39.051932553206285,-77.47696041042627
ACADEMIES OF LOUDOUN,High,39.042595980855005,-77.55112484817519
JOHN W TOLBERT JR ES,Elem,39.09650961707156,-77.52460513404671
ARCOLA ES,Elem,38.93692188509027,-77.55967911894055
HARPER PARK MS,Middle,39.09473211175064,-77.52265960290003
BANNEKER ES,Elem,39.00374540074012,-77.78813987780495
ROUND HILL ES,Elem,39.1446265165602,-77.76233496526312
ALDIE ES,Elem,38.97437865584598,-77.64513101921544
EAGLE RIDGE MS,Middle,39.01537870780328,-77.51593797202884
MILL RUN ES,Elem,39.011856736347625,-77.51564648257184
POTOMAC FALLS HS,High,39.05202783095346,-77.39037810571405
LITTLE RIVER ES,Elem,38.898311054066205,-77.49931278345414
MOUNTAIN VIEW ES,Elem,39.15659353662522,-77.73163060344736
WOODGROVE HS,High,39.154204245139425,-77.72710016540906
BELMONT STATION ES,Elem,39.05780578913979,-77.51193151997931
HORIZON ES,Elem,39.045140695882736,-77.38575331046209
STONE BRIDGE HS,High,39.048859994942404,-77.50873979452776
LOWES ISLAND ES,Elem,39.041858869792016,-77.34957835454796
POTOWMACK ES,Elem,39.03958223333263,-77.39497912913654
MEADOWLAND ES,Elem,39.03620241406996,-77.37135766306214
FARMWELL STATION MS,Middle,39.03694081059542,-77.47276103376778
DOMINION TRAIL ES,Elem,39.036005229555386,-77.4787458234553
