School_ID,School_Name,Division_Name,School_Type,Year,History_Pass_Rate,Math_Pass_Rate,Reading_Pass_Rate,Science_Pass_Rate,Writing_Pass_Rate,Overall_Pass_Rate
10,Amelia County High,Amelia County,High,2020-2021,34.0,55.0,80.0,48.0,,54.2
10,Amelia County High,Amelia County,High,2021-2022,52.0,75.0,77.0,61.0,,66.2
10,Amelia County High,Amelia County,High,2022-2023,53.0,79.0,78.0,60.0,,67.5
10,Amelia County High,Amelia County,High,2023-2024,49.0,74.0,83.0,58.0,,66.0
10,Amelia County High,Amelia County,High,2024-2025,51.0,74.0,85.0,62.0,,68.0
10,Apple Pie Ridge Elementary,Frederick County,Elem,2020-2021,,52.0,58.0,52.0,,54.0
10,Apple Pie Ridge Elementary,Frederick County,Elem,2021-2022,58.0,51.0,62.0,53.0,,56.0
10,Apple Pie Ridge Elementary,Frederick County,Elem,2022-2023,45.0,49.0,56.0,64.0,,53.5
10,Apple Pie Ridge Elementary,Frederick County,Elem,2023-2024,41.0,55.0,58.0,54.0,,52.0
10,Apple Pie Ridge Elementary,Frederick County,Elem,2024-2025,,55.0,58.0,58.0,,57.0
10,Bassett High,Henry County,High,2020-2021,,54.0,78.0,53.0,,61.7
10,Bassett High,Henry County,High,2021-2022,44.0,73.0,81.0,60.0,,64.5
10,Bassett High,Henry County,High,2022-2023,49.0,79.0,78.0,60.0,,66.5
10,Bassett High,Henry County,High,2023-2024,48.0,80.0,80.0,58.0,,66.5
10,Bassett High,Henry County,High,2024-2025,50.0,76.0,76.0,60.0,,65.5
10,Battlefield Elementary,Spotsylvania County,Elem,2020-2021,,66.0,70.0,57.0,,64.3
10,Battlefield Elementary,Spotsylvania County,Elem,2021-2022,73.0,67.0,72.0,61.0,,68.2
10,Battlefield Elementary,Spotsylvania County,Elem,2022-2023,75.0,67.0,68.0,52.0,,65.5
10,Battlefield Elementary,Spotsylvania County,Elem,2023-2024,71.0,66.0,67.0,59.0,,65.8
10,Battlefield Elementary,Spotsylvania County,Elem,2024-2025,65.0,69.0,64.0,65.0,,65.8
10,Belle Heth Elementary,Radford City,Elem,2020-2021,72.0,73.0,77.0,72.0,,73.5
10,Belle Heth Elementary,Radford City,Elem,2021-2022,46.0,57.0,66.0,66.0,,58.8
10,Belle Heth Elementary,Radford City,Elem,2022-2023,52.0,76.0,77.0,70.0,,68.8
10,Belle Heth Elementary,Radford City,Elem,2023-2024,,78.0,76.0,66.0,,73.3
10,Belle Heth Elementary,Radford City,Elem,2024-2025,,76.0,74.0,76.0,,75.3
10,Clarke County High,Clarke County,High,2020-2021,74.0,67.0,88.0,74.0,82.0,77.0
10,Clarke County High,Clarke County,High,2021-2022,77.0,87.0,90.0,76.0,84.0,82.8
10,Clarke County High,Clarke County,High,2022-2023,69.0,81.0,91.0,76.0,85.0,80.4
10,Clarke County High,Clarke County,High,2023-2024,79.0,93.0,86.0,80.0,82.0,84.0
10,Clarke County High,Clarke County,High,2024-2025,72.0,92.0,88.0,84.0,80.0,83.2
10,Eastern Elementary/Middle ,Giles County,Elem,2020-2021,69.0,55.0,71.0,78.0,,68.2
10,Eastern Elementary/Middle ,Giles County,Elem,2021-2022,73.0,60.0,70.0,61.0,,66.0
10,Eastern Elementary/Middle ,Giles County,Elem,2022-2023,65.0,55.0,70.0,61.0,,62.8
10,Eastern Elementary/Middle ,Giles County,Elem,2023-2024,79.0,67.0,66.0,80.0,,73.0
10,Eastern Elementary/Middle ,Giles County,Elem,2024-2025,70.0,67.0,71.0,83.0,,72.8
10,Edward E. Drew Jr. Middle,Stafford County,Middle,2020-2021,50.0,38.0,65.0,55.0,46.0,50.8
10,Edward E. Drew Jr. Middle,Stafford County,Middle,2021-2022,63.0,48.0,67.0,47.0,54.0,55.8
10,Edward E. Drew Jr. Middle,Stafford County,Middle,2022-2023,66.0,58.0,63.0,57.0,46.0,58.0
10,Edward E. Drew Jr. Middle,Stafford County,Middle,2023-2024,61.0,60.0,62.0,57.0,,60.0
10,Edward E. Drew Jr. Middle,Stafford County,Middle,2024-2025,59.0,65.0,65.0,54.0,,60.8
10,Essex High,Essex County,High,2020-2021,40.0,31.0,64.0,38.0,19.0,38.4
10,Essex High,Essex County,High,2021-2022,57.0,78.0,67.0,55.0,41.0,59.6
10,Essex High,Essex County,High,2022-2023,38.0,64.0,71.0,60.0,38.0,54.2
10,Essex High,Essex County,High,2023-2024,49.0,85.0,87.0,72.0,,73.2
10,Essex High,Essex County,High,2024-2025,38.0,83.0,86.0,83.0,,72.5
10,Galax Elementary,Galax City,Elem,2020-2021,61.0,53.0,64.0,45.0,,55.8
10,Galax Elementary,Galax City,Elem,2021-2022,63.0,61.0,63.0,46.0,,58.2
10,Galax Elementary,Galax City,Elem,2022-2023,75.0,70.0,70.0,64.0,,69.8
10,Galax Elementary,Galax City,Elem,2023-2024,79.0,71.0,68.0,66.0,,71.0
10,Galax Elementary,Galax City,Elem,2024-2025,65.0,69.0,65.0,59.0,,64.5
10,Graham Middle,Tazewell County,Middle,2020-2021,79.0,65.0,78.0,64.0,66.0,70.4
10,Graham Middle,Tazewell County,Middle,2021-2022,85.0,83.0,80.0,68.0,69.0,77.0
10,Graham Middle,Tazewell County,Middle,2022-2023,85.0,83.0,80.0,72.0,76.0,79.2
10,Graham Middle,Tazewell County,Middle,2023-2024,95.0,88.0,82.0,75.0,,85.0
10,Graham Middle,Tazewell County,Middle,2024-2025,90.0,87.0,82.0,77.0,,84.0
10,Green Run High,Virginia Beach City,High,2020-2021,38.0,64.0,69.0,54.0,60.0,57.0
10,Green Run High,Virginia Beach City,High,2021-2022,50.0,80.0,86.0,62.0,69.0,69.4
10,Green Run High,Virginia Beach City,High,2022-2023,53.0,87.0,83.0,73.0,67.0,72.6
10,Green Run High,Virginia Beach City,High,2023-2024,53.0,90.0,84.0,71.0,68.0,73.2
10,Green Run High,Virginia Beach City,High,2024-2025,62.0,86.0,89.0,71.0,75.0,76.6
10,Halifax County High,Halifax County,High,2020-2021,32.0,40.0,69.0,44.0,,46.2
10,Halifax County High,Halifax County,High,2021-2022,47.0,72.0,76.0,59.0,59.0,62.6
10,Halifax County High,Halifax County,High,2022-2023,43.0,71.0,77.0,71.0,62.0,64.8
10,Halifax County High,Halifax County,High,2023-2024,41.0,78.0,80.0,74.0,59.0,66.4
10,Halifax County High,Halifax County,High,2024-2025,34.0,77.0,81.0,74.0,68.0,66.8
10,Harding Avenue Elementary,Montgomery County,Elem,2020-2021,74.0,78.0,86.0,78.0,,79.0
10,Harding Avenue Elementary,Montgomery County,Elem,2021-2022,93.0,91.0,90.0,83.0,,89.2
10,Harding Avenue Elementary,Montgomery County,Elem,2022-2023,89.0,95.0,94.0,94.0,,93.0
10,Harding Avenue Elementary,Montgomery County,Elem,2023-2024,97.0,91.0,92.0,89.0,,92.2
10,Harding Avenue Elementary,Montgomery County,Elem,2024-2025,89.0,90.0,91.0,95.0,,91.2
10,Henry Elementary,Franklin County,Elem,2020-2021,,65.0,62.0,65.0,,64.0
10,Henry Elementary,Franklin County,Elem,2021-2022,58.0,73.0,75.0,73.0,,69.8
10,Henry Elementary,Franklin County,Elem,2022-2023,78.0,73.0,71.0,59.0,,70.2
10,Henry Elementary,Franklin County,Elem,2023-2024,79.0,65.0,66.0,57.0,,66.8
10,Hidden Valley Middle,Roanoke County,Middle,2020-2021,82.0,76.0,83.0,82.0,72.0,79.0
10,Hidden Valley Middle,Roanoke County,Middle,2021-2022,86.0,88.0,86.0,79.0,75.0,82.8
10,Hidden Valley Middle,Roanoke County,Middle,2022-2023,86.0,90.0,85.0,79.0,73.0,82.6
10,Hidden Valley Middle,Roanoke County,Middle,2023-2024,88.0,91.0,83.0,76.0,,84.5
10,Hidden Valley Middle,Roanoke County,Middle,2024-2025,86.0,89.0,85.0,82.0,,85.5
10,Hollymead Elementary,Albemarle County,Elem,2020-2021,,87.0,90.0,80.0,,85.7
10,Hollymead Elementary,Albemarle County,Elem,2021-2022,86.0,86.0,89.0,78.0,,84.8
10,Hollymead Elementary,Albemarle County,Elem,2022-2023,91.0,88.0,92.0,89.0,,90.0
10,Hollymead Elementary,Albemarle County,Elem,2023-2024,92.0,85.0,87.0,85.0,,87.2
10,Hollymead Elementary,Albemarle County,Elem,2024-2025,85.0,83.0,84.0,84.0,,84.0
10,Johnson Elementary,Charlottesville City,Elem,2020-2021,,53.0,64.0,,,58.5
10,Johnson Elementary,Charlottesville City,Elem,2021-2022,,61.0,73.0,,,67.0
10,Johnson Elementary,Charlottesville City,Elem,2022-2023,,56.0,66.0,,,61.0
10,Johnson Elementary,Charlottesville City,Elem,2023-2024,,54.0,61.0,,,57.5
10,King George Middle,King George County,Middle,2020-2021,54.0,48.0,75.0,58.0,57.0,58.4
10,King George Middle,King George County,Middle,2021-2022,66.0,62.0,76.0,73.0,65.0,68.4
10,King George Middle,King George County,Middle,2022-2023,75.0,63.0,70.0,67.0,61.0,67.2
10,King George Middle,King George County,Middle,2023-2024,71.0,65.0,74.0,72.0,,70.5
10,King George Middle,King George County,Middle,2024-2025,70.0,69.0,73.0,73.0,,71.2
10,Lancaster High,Lancaster County,High,2020-2021,18.0,36.0,58.0,46.0,0.0,31.6
10,Lancaster High,Lancaster County,High,2021-2022,38.0,83.0,84.0,78.0,,70.8
10,Lancaster High,Lancaster County,High,2022-2023,35.0,61.0,48.0,56.0,21.0,44.2
10,Lancaster High,Lancaster County,High,2023-2024,32.0,64.0,75.0,65.0,,59.0
10,Lancaster High,Lancaster County,High,2024-2025,49.0,61.0,71.0,61.0,,60.5
10,Lloyd C. Bird High,Chesterfield County,High,2020-2021,47.0,40.0,73.0,50.0,61.0,54.2
10,Lloyd C. Bird High,Chesterfield County,High,2021-2022,55.0,64.0,83.0,52.0,55.0,61.8
10,Lloyd C. Bird High,Chesterfield County,High,2022-2023,53.0,70.0,80.0,51.0,49.0,60.6
10,Lloyd C. Bird High,Chesterfield County,High,2023-2024,52.0,69.0,73.0,53.0,58.0,61.0
10,Lloyd C. Bird High,Chesterfield County,High,2024-2025,51.0,64.0,78.0,68.0,49.0,62.0
10,Magruder Elementary,York County,Elem,2020-2021,,68.0,78.0,59.0,,68.3
10,Magruder Elementary,York County,Elem,2021-2022,77.0,80.0,83.0,65.0,,76.2
10,Magruder Elementary,York County,Elem,2022-2023,71.0,77.0,82.0,72.0,,75.5
10,Magruder Elementary,York County,Elem,2023-2024,82.0,82.0,81.0,78.0,,80.8
