School_ID,School_Name,Division_Name,Year,Accreditation_Status,Num_L3_Indicators,Has_L3_Indicators
701,Accawmacke Elementary,Accomack County,2018-2019,Accredited,0,False
540,Arcadia High,Accomack County,2018-2019,Accredited,0,False
704,Arcadia Middle ,Accomack County,2018-2019,Accredited,0,False
80,Chincoteague Elementary,Accomack County,2018-2019,Accredited,0,False
580,Chincoteague High,Accomack County,2018-2019,Accredited,0,False
600,Kegotank Elementary,Accomack County,2018-2019,Accredited,0,False
702,Metompkin Elementary,Accomack County,2018-2019,Accredited with Conditions,0,False
70,Nandua High,Accomack County,2018-2019,Accredited,0,False
703,Nandua Middle,Accomack County,2018-2019,Accredited,0,False
590,Pungoteague Elementary,Accomack County,2018-2019,Accredited,0,False
530,Tangier Combined,Accomack County,2018-2019,Accredited,0,False
160,Agnor-Hurt Elementary,Albemarle County,2018-2019,Accredited,0,False
1060,Albemarle County Community Public Charter,Albemarle County,2018-2019,Accredited,0,False
880,Albemarle High,Albemarle County,2018-2019,Accredited,0,False
1053,Baker-Butler Elem,Albemarle County,2018-2019,Accredited,0,False
100,Broadus Wood Elementary,Albemarle County,2018-2019,Accredited,0,False
941,Brownsville Elementary,Albemarle County,2018-2019,Accredited,0,False
340,Crozet Elementary,Albemarle County,2018-2019,Accredited,0,False
10,Hollymead Elementary,Albemarle County,2018-2019,Accredited,0,False
950,Jack Jouett Middle,Albemarle County,2018-2019,Accredited,0,False
69,Jackson P. Burley Middle,Albemarle County,2018-2019,Accredited,0,False
942,Joseph T. Henley Middle,Albemarle County,2018-2019,Accredited,0,False
20,Leslie H. Walton Middle,Albemarle County,2018-2019,Accredited,0,False
40,Mary Carr Greer Elementary,Albemarle County,2018-2019,Accredited with Conditions,0,False
250,Meriwether Lewis Elementary,Albemarle County,2018-2019,Accredited,0,False
1052,Monticello High,Albemarle County,2018-2019,Accredited,0,False
1051,Mortimer Y. Sutherland Middle,Albemarle County,2018-2019,Accredited,0,False
890,Murray High,Albemarle County,2018-2019,Accredited,0,False
150,Paul H. Cale Elementary,Albemarle County,2018-2019,Accredited,0,False
540,Red Hill Elementary,Albemarle County,2018-2019,Accredited,0,False
30,Scottsville Elementary,Albemarle County,2018-2019,Accredited,0,False
920,Stone Robinson Elementary,Albemarle County,2018-2019,Accredited,0,False
240,Stony Point Elementary,Albemarle County,2018-2019,Accredited,0,False
910,Virginia L. Murray Elementary,Albemarle County,2018-2019,Accredited,0,False
140,Western Albemarle High,Albemarle County,2018-2019,Accredited,0,False
930,Woodbrook Elementary,Albemarle County,2018-2019,Accredited,0,False
120,Charles Barrett Elementary,Alexandria City,2018-2019,Accredited,0,False
160,Cora Kelly Magnet Elementary,Alexandria City,2018-2019,Accredited,0,False
110,Douglas Macarthur Elementary,Alexandria City,2018-2019,Accredited,0,False
350,Ferdinand T. Day Elementary,Alexandria City,2018-2019,Conditionally Accredited:  New School,0,False
140,Francis C. Hammond Middle,Alexandria City,2018-2019,Accredited,0,False
100,George Mason Elementary,Alexandria City,2018-2019,Accredited,0,False
130,George Washington Middle,Alexandria City,2018-2019,Accredited,0,False
220,James K. Polk Elementary,Alexandria City,2018-2019,Accredited,0,False
90,Jefferson-Houston Elementary,Alexandria City,2018-2019,Accredited with Conditions,0,False
230,John Adams Elementary,Alexandria City,2018-2019,Accredited,0,False
80,Lyles-Crouch Elementary,Alexandria City,2018-2019,Accredited,0,False
60,Maury Elementary,Alexandria City,2018-2019,Accredited,0,False
30,Mount Vernon Elementary,Alexandria City,2018-2019,Accredited,0,False
50,Patrick Henry Elementary,Alexandria City,2018-2019,Accredited,0,False
333,Samuel W. Tucker Elementary,Alexandria City,2018-2019,Accredited,0,False
210,T.C. Williams High,Alexandria City,2018-2019,Accredited with Conditions,0,False
190,William Ramsay Elementary,Alexandria City,2018-2019,Accredited,0,False
310,Alleghany High,Alleghany County,2018-2019,Accredited,0,False
110,Callaghan Elementary,Alleghany County,2018-2019,Accredited,0,False
1040,Clifton Middle,Alleghany County,2018-2019,Accredited,0,False
1041,Mountain View Elementary,Alleghany County,2018-2019,Accredited with Conditions,0,False
90,Sharon Elementary,Alleghany County,2018-2019,Accredited,0,False
220,Amelia County Elementary,Amelia County,2018-2019,Accredited,0,False
10,Amelia County High,Amelia County,2018-2019,Accredited,0,False
210,Amelia County Middle,Amelia County,2018-2019,Accredited,0,False
780,Amelon Elementary,Amherst County,2018-2019,Accredited,0,False
750,Amherst County High,Amherst County,2018-2019,Accredited,0,False
790,Amherst Elementary,Amherst County,2018-2019,Accredited,0,False
670,Amherst Middle,Amherst County,2018-2019,Accredited,0,False
770,Central Elementary,Amherst County,2018-2019,Accredited,0,False
760,Elon Elementary,Amherst County,2018-2019,Accredited,0,False
500,Madison Heights Elementary,Amherst County,2018-2019,Accredited,0,False
20,Monelison Middle,Amherst County,2018-2019,Accredited,0,False
740,Temperance Elementary,Amherst County,2018-2019,Accredited,0,False
260,Appomattox County High,Appomattox County,2018-2019,Accredited,0,False
110,Appomattox Elementary,Appomattox County,2018-2019,Accredited,0,False
160,Appomattox Middle,Appomattox County,2018-2019,Accredited,0,False
250,Appomattox Primary,Appomattox County,2018-2019,Accredited,0,False
350,Abingdon Elementary,Arlington County,2018-2019,Accredited,0,False
618,Arlington Community High,Arlington County,2018-2019,Accredited,0,False
613,Arlington Science Focus,Arlington County,2018-2019,Accredited,0,False
470,Arlington Traditional,Arlington County,2018-2019,Accredited,0,False
490,Ashlawn Elementary,Arlington County,2018-2019,Accredited,0,False
150,Barcroft Elementary,Arlington County,2018-2019,Accredited,0,False
250,Barrett Elementary,Arlington County,2018-2019,Accredited,0,False
615,Campbell Elementary,Arlington County,2018-2019,Accredited,0,False
90,Carlin Springs Elementary,Arlington County,2018-2019,Accredited,0,False
622,Claremont Immersion,Arlington County,2018-2019,Accredited,0,False
626,Discovery Elementary,Arlington County,2018-2019,Accredited,0,False
200,Drew Model Elementary,Arlington County,2018-2019,Accredited,0,False
111,Francis Scott Key Elementary,Arlington County,2018-2019,Accredited,0,False
100,Glebe Elementary,Arlington County,2018-2019,Accredited,0,False
611,Gunston Middle,Arlington County,2018-2019,Accredited,0,False
160,Henry Elementary,Arlington County,2018-2019,Accredited,0,False
614,Hoffman-Boston Elementary,Arlington County,2018-2019,Accredited,0,False
440,Jamestown Elementary,Arlington County,2018-2019,Accredited,0,False
180,Jefferson Middle,Arlington County,2018-2019,Accredited,0,False
500,Kenmore Middle,Arlington County,2018-2019,Accredited,0,False
460,Long Branch Elementary,Arlington County,2018-2019,Accredited,0,False
380,McKinley Elementary,Arlington County,2018-2019,Accredited,0,False
410,Nottingham Elementary,Arlington County,2018-2019,Accredited,0,False
360,Oakridge Elementary,Arlington County,2018-2019,Accredited,0,False
510,Randolph Elementary,Arlington County,2018-2019,Accredited,0,False
240,Swanson Middle,Arlington County,2018-2019,Accredited,0,False
420,Taylor Elementary,Arlington County,2018-2019,Accredited,0,False
211,Tuckahoe Elementary,Arlington County,2018-2019,Accredited,0,False
450,Wakefield High,Arlington County,2018-2019,Accredited,0,False
80,Washington-Lee High,Arlington County,2018-2019,Accredited,0,False
480,Williamsburg Middle,Arlington County,2018-2019,Accredited,0,False
330,Yorktown High,Arlington County,2018-2019,Accredited,0,False
212,Beverley Manor Middle,Augusta County,2018-2019,Accredited,0,False
660,Buffalo Gap High,Augusta County,2018-2019,Accredited,0,False
30,Cassell Elementary,Augusta County,2018-2019,Accredited,0,False
140,Churchville Elementary,Augusta County,2018-2019,Accredited,0,False
370,Craigsville Elementary,Augusta County,2018-2019,Accredited,0,False
842,Edward G. Clymore Elementary,Augusta County,2018-2019,Accredited,0,False
670,Fort Defiance High,Augusta County,2018-2019,Accredited,0,False
843,Guy K. Stump Elementary,Augusta County,2018-2019,Accredited,0,False
40,North River Elementary,Augusta County,2018-2019,Accredited,0,False
740,Riverheads Elementary,Augusta County,2018-2019,Accredited,0,False
680,Riverheads High,Augusta County,2018-2019,Accredited,0,False
90,S. Gordon Stewart Middle,Augusta County,2018-2019,Accredited,0,False
440,Stuarts Draft Elementary,Augusta County,2018-2019,Accredited with Conditions,0,False
730,Stuarts Draft High,Augusta County,2018-2019,Accredited,0,False
60,Stuarts Draft Middle,Augusta County,2018-2019,Accredited,0,False
640,Wilson Elementary,Augusta County,2018-2019,Accredited,0,False
720,Wilson Memorial High,Augusta County,2018-2019,Accredited,0,False
844,Wilson Middle,Augusta County,2018-2019,Accredited,0,False
140,Bath County High,Bath County,2018-2019,Accredited,0,False
120,Millboro Elementary,Bath County,2018-2019,Accredited,0,False
150,Valley Elementary,Bath County,2018-2019,Accredited,0,False
480,Bedford Elementary,Bedford County,2018-2019,Accredited,0,False
1200,Bedford Primary,Bedford County,2018-2019,Accredited,0,False
30,Big Island Elementary,Bedford County,2018-2019,Accredited,0,False
160,Boonsboro Elementary,Bedford County,2018-2019,Accredited,0,False
500,Forest Elementary,Bedford County,2018-2019,Accredited,0,False
1211,Forest Middle,Bedford County,2018-2019,Accredited,0,False
1214,Goodview Elementary,Bedford County,2018-2019,Accredited,0,False
980,Huddleston Elementary,Bedford County,2018-2019,Accredited,0,False
1212,Jefferson Forest High,Bedford County,2018-2019,Accredited,0,False
1180,Liberty High,Bedford County,2018-2019,Accredited,0,False
490,Liberty Middle,Bedford County,2018-2019,Accredited,0,False
970,Moneta Elementary,Bedford County,2018-2019,Accredited,0,False
180,Montvale Elementary,Bedford County,2018-2019,Accredited,0,False
610,New London Academy Elementary,Bedford County,2018-2019,Accredited,0,False
1170,Otter River Elementary,Bedford County,2018-2019,Accredited,0,False
1190,Staunton River High,Bedford County,2018-2019,Accredited,0,False
1191,Staunton River Middle,Bedford County,2018-2019,Accredited,0,False
640,Stewartsville Elementary,Bedford County,2018-2019,Accredited,0,False
1213,Thomas Jefferson Elementary,Bedford County,2018-2019,Accredited,0,False
250,Bland County Elementary ,Bland County,2018-2019,Accredited,0,False
260,Bland County High,Bland County,2018-2019,Accredited,0,False
220,Breckinridge Elementary,Botetourt County,2018-2019,Accredited,0,False
20,Buchanan Elementary,Botetourt County,2018-2019,Accredited,0,False
420,Central Academy Middle,Botetourt County,2018-2019,Accredited,0,False
390,Cloverdale Elementary,Botetourt County,2018-2019,Accredited,0,False
400,Colonial Elementary,Botetourt County,2018-2019,Accredited,0,False
30,Eagle Rock Elementary,Botetourt County,2018-2019,Accredited,0,False
460,Greenfield Elementary,Botetourt County,2018-2019,Accredited,0,False
