School,Level,School_Name_Raw,Year,Reading_Pass_Rate
Steuart Weller Elementary,elementary,Steuart W. Weller Elementary,2020-2021,74.0
Steuart Weller Elementary,elementary,Steuart W. Weller Elementary,2021-2022,79.0
Steuart Weller Elementary,elementary,Steuart W. Weller Elementary,2022-2023,73.0
Steuart Weller Elementary,elementary,Steuart W. Weller Elementary,2023-2024,75.0
Steuart Weller Elementary,elementary,Steuart W. Weller Elementary,2024-2025,76.0
Belmont Ridge Middle,middle,Belmont Station Elementary ,2020-2021,78.0
Belmont Ridge Middle,middle,Belmont Station Elementary ,2021-2022,87.0
Belmont Ridge Middle,middle,Belmont Station Elementary ,2022-2023,82.0
Belmont Ridge Middle,middle,Belmont Station Elementary ,2023-2024,81.0
Belmont Ridge Middle,middle,Belmont Station Elementary ,2024-2025,81.0
Belmont Ridge Middle,middle,Belmont Elementary,2020-2021,51.0
Belmont Ridge Middle,middle,Belmont Elementary,2021-2022,67.0
Belmont Ridge Middle,middle,Belmont Elementary,2022-2023,68.0
Belmont Ridge Middle,middle,Belmont Elementary,2023-2024,74.0
Belmont Ridge Middle,middle,Belmont Elementary,2024-2025,73.0
Belmont Ridge Middle,middle,Belmont Ridge Middle,2020-2021,83.0
Belmont Ridge Middle,middle,Belmont Ridge Middle,2021-2022,80.0
Belmont Ridge Middle,middle,Belmont Ridge Middle,2022-2023,80.0
Belmont Ridge Middle,middle,Belmont Ridge Middle,2023-2024,80.0
Belmont Ridge Middle,middle,Belmont Ridge Middle,2024-2025,84.0
Riverside High,high,Riverside High,2020-2021,89.0
Riverside High,high,Riverside High,2021-2022,94.0
Riverside High,high,Riverside High,2022-2023,92.0
Riverside High,high,Riverside High,2023-2024,93.0
Riverside High,high,Riverside High,2024-2025,95.0
Riverside High,high,Riverside Elementary,2020-2021,51.0
Riverside High,high,Riverside Elementary,2021-2022,50.0
Riverside High,high,Riverside Elementary,2022-2023,53.0
Riverside High,high,Riverside Elementary,2023-2024,58.0
Riverside High,high,Riverside Elementary,2024-2025,53.0
Riverside High,high,Riverside Elementary,2020-2021,54.0
Riverside High,high,Riverside Elementary,2021-2022,60.0
Riverside High,high,Riverside Elementary,2022-2023,65.0
Riverside High,high,Riverside Elementary,2023-2024,66.0
Riverside High,high,Riverside Elementary,2024-2025,68.0
