School,Year,Reading Pass Rate
Belmont Ridge Middle,2020-2021,78.0
Belmont Ridge Middle,2021-2022,87.0
Belmont Ridge Middle,2022-2023,82.0
Belmont Ridge Middle,2023-2024,81.0
Belmont Ridge Middle,2024-2025,81.0
Belmont Ridge Middle,2020-2021,51.0
Belmont Ridge Middle,2021-2022,67.0
Belmont Ridge Middle,2022-2023,68.0
Belmont Ridge Middle,2023-2024,74.0
Belmont Ridge Middle,2024-2025,73.0
Belmont Ridge Middle,2020-2021,83.0
Belmont Ridge Middle,2021-2022,80.0
Belmont Ridge Middle,2022-2023,80.0
Belmont Ridge Middle,2023-2024,80.0
Belmont Ridge Middle,2024-2025,84.0
